gene,MHC_gene,instrument_chr,nSNP_primary,method_primary,OR_primary,OR_lo_primary,OR_hi_primary,p_primary,FDR_primary,nSNP_noMHC,method_noMHC,OR_noMHC,OR_lo_noMHC,OR_hi_noMHC,p_noMHC,FDR_noMHC,estimate_unchanged,verdict,direction_consistent
CCDC92,FALSE,12,3,Inverse variance weighted,1.033,0.939,1.137,0.504,0.888,3,Inverse variance weighted,1.033,0.939,1.137,0.504,0.892,TRUE,ns in both,TRUE
PAAF1,FALSE,11,3,Inverse variance weighted,1.02,0.963,1.081,0.504,0.888,3,Inverse variance weighted,1.02,0.963,1.081,0.504,0.892,TRUE,ns in both,TRUE
CARD16,FALSE,11,4,Inverse variance weighted,1.044,0.92,1.185,0.506,0.888,4,Inverse variance weighted,1.044,0.92,1.185,0.506,0.892,TRUE,ns in both,TRUE
FXYD5,FALSE,19,3,Inverse variance weighted,1.024,0.954,1.1,0.509,0.888,3,Inverse variance weighted,1.024,0.954,1.1,0.509,0.892,TRUE,ns in both,TRUE
MRPL38,FALSE,17,2,Inverse variance weighted,1.29,0.606,2.744,0.509,0.888,2,Inverse variance weighted,1.29,0.606,2.744,0.509,0.892,TRUE,ns in both,TRUE
ARMC8,FALSE,3,1,Wald ratio,1.158,0.749,1.791,0.51,0.888,1,Wald ratio,1.158,0.749,1.791,0.51,0.892,TRUE,ns in both,TRUE
FBXO34,FALSE,14,1,Wald ratio,0.964,0.863,1.076,0.51,0.888,1,Wald ratio,0.964,0.863,1.076,0.51,0.892,TRUE,ns in both,TRUE
GMFG,FALSE,19,1,Wald ratio,0.924,0.731,1.169,0.51,0.888,1,Wald ratio,0.924,0.731,1.169,0.51,0.892,TRUE,ns in both,TRUE
GUSB,FALSE,7,1,Wald ratio,1.033,0.938,1.138,0.51,0.888,1,Wald ratio,1.033,0.938,1.138,0.51,0.892,TRUE,ns in both,TRUE
MON1A,FALSE,3,1,Wald ratio,1.046,0.914,1.198,0.51,0.888,1,Wald ratio,1.046,0.914,1.198,0.51,0.892,TRUE,ns in both,TRUE
NDUFA11,FALSE,19,1,Wald ratio,1.063,0.887,1.273,0.51,0.888,1,Wald ratio,1.063,0.887,1.273,0.51,0.892,TRUE,ns in both,TRUE
NICN1,FALSE,3,1,Wald ratio,0.834,0.486,1.432,0.51,0.888,1,Wald ratio,0.834,0.486,1.432,0.51,0.892,TRUE,ns in both,TRUE
NUP210,FALSE,3,2,Inverse variance weighted,0.967,0.873,1.07,0.51,0.888,2,Inverse variance weighted,0.967,0.873,1.07,0.51,0.892,TRUE,ns in both,TRUE
PHC1,FALSE,12,1,Wald ratio,0.931,0.753,1.152,0.51,0.888,1,Wald ratio,0.931,0.753,1.152,0.51,0.892,TRUE,ns in both,TRUE
RAD9A,FALSE,11,1,Wald ratio,1.148,0.762,1.728,0.51,0.888,1,Wald ratio,1.148,0.762,1.728,0.51,0.892,TRUE,ns in both,TRUE
SLC25A19,FALSE,17,1,Wald ratio,0.872,0.579,1.312,0.51,0.888,1,Wald ratio,0.872,0.579,1.312,0.51,0.892,TRUE,ns in both,TRUE
STRN3,FALSE,14,1,Wald ratio,1.05,0.908,1.215,0.51,0.888,1,Wald ratio,1.05,0.908,1.215,0.51,0.892,TRUE,ns in both,TRUE
STT3A,FALSE,11,1,Wald ratio,0.878,0.595,1.294,0.51,0.888,1,Wald ratio,0.878,0.595,1.294,0.51,0.892,TRUE,ns in both,TRUE
TERF2,FALSE,16,1,Wald ratio,0.966,0.871,1.071,0.51,0.888,1,Wald ratio,0.966,0.871,1.071,0.51,0.892,TRUE,ns in both,TRUE
TOPORS,FALSE,9,1,Wald ratio,0.882,0.608,1.28,0.51,0.888,1,Wald ratio,0.882,0.608,1.28,0.51,0.892,TRUE,ns in both,TRUE
UPF2,FALSE,10,1,Wald ratio,1.309,0.588,2.913,0.51,0.888,1,Wald ratio,1.309,0.588,2.913,0.51,0.892,TRUE,ns in both,TRUE
CCT5,FALSE,5,2,Inverse variance weighted,1.025,0.952,1.104,0.512,0.888,2,Inverse variance weighted,1.025,0.952,1.104,0.512,0.892,TRUE,ns in both,TRUE
MEN1,FALSE,11,2,Inverse variance weighted,1.065,0.882,1.285,0.512,0.888,2,Inverse variance weighted,1.065,0.882,1.285,0.512,0.892,TRUE,ns in both,TRUE
SNX16,FALSE,8,2,Inverse variance weighted,0.986,0.946,1.028,0.513,0.888,2,Inverse variance weighted,0.986,0.946,1.028,0.513,0.892,TRUE,ns in both,TRUE
USP36,FALSE,17,3,Inverse variance weighted,0.978,0.916,1.045,0.514,0.888,3,Inverse variance weighted,0.978,0.916,1.045,0.514,0.892,TRUE,ns in both,TRUE
DPP3,FALSE,11,2,Inverse variance weighted,0.955,0.83,1.098,0.515,0.888,2,Inverse variance weighted,0.955,0.83,1.098,0.515,0.892,TRUE,ns in both,TRUE
SLC7A11,FALSE,4,2,Inverse variance weighted,0.912,0.691,1.204,0.515,0.888,2,Inverse variance weighted,0.912,0.691,1.204,0.515,0.892,TRUE,ns in both,TRUE
MCM3AP,FALSE,21,3,Inverse variance weighted,1.016,0.969,1.064,0.516,0.888,3,Inverse variance weighted,1.016,0.969,1.064,0.516,0.892,TRUE,ns in both,TRUE
WDFY1,FALSE,2,2,Inverse variance weighted,1.033,0.937,1.138,0.516,0.888,2,Inverse variance weighted,1.033,0.937,1.138,0.516,0.892,TRUE,ns in both,TRUE
RPA1,FALSE,17,3,Inverse variance weighted,0.97,0.883,1.065,0.517,0.888,3,Inverse variance weighted,0.97,0.883,1.065,0.517,0.892,TRUE,ns in both,TRUE
APC,FALSE,5,1,Wald ratio,0.89,0.624,1.27,0.52,0.888,1,Wald ratio,0.89,0.624,1.27,0.52,0.892,TRUE,ns in both,TRUE
ARHGAP17,FALSE,16,1,Wald ratio,1.066,0.877,1.297,0.52,0.888,1,Wald ratio,1.066,0.877,1.297,0.52,0.892,TRUE,ns in both,TRUE
COG2,FALSE,1,1,Wald ratio,0.942,0.785,1.13,0.52,0.888,1,Wald ratio,0.942,0.785,1.13,0.52,0.892,TRUE,ns in both,TRUE
CTBP1,FALSE,4,1,Wald ratio,0.899,0.65,1.243,0.52,0.888,1,Wald ratio,0.899,0.65,1.243,0.52,0.892,TRUE,ns in both,TRUE
DDX54,FALSE,12,1,Wald ratio,0.77,0.348,1.707,0.52,0.888,1,Wald ratio,0.77,0.348,1.707,0.52,0.892,TRUE,ns in both,TRUE
GOLGA3,FALSE,12,2,Inverse variance weighted,1.055,0.896,1.242,0.52,0.888,2,Inverse variance weighted,1.055,0.896,1.242,0.52,0.892,TRUE,ns in both,TRUE
KBTBD7,FALSE,13,1,Wald ratio,0.947,0.804,1.117,0.52,0.888,1,Wald ratio,0.947,0.804,1.117,0.52,0.892,TRUE,ns in both,TRUE
NOL6,FALSE,9,1,Wald ratio,1.042,0.919,1.181,0.52,0.888,1,Wald ratio,1.042,0.919,1.181,0.52,0.892,TRUE,ns in both,TRUE
PLA2G12A,FALSE,4,1,Wald ratio,0.959,0.843,1.09,0.52,0.888,1,Wald ratio,0.959,0.843,1.09,0.52,0.892,TRUE,ns in both,TRUE
PMVK,FALSE,1,1,Wald ratio,1.048,0.909,1.207,0.52,0.888,1,Wald ratio,1.048,0.909,1.207,0.52,0.892,TRUE,ns in both,TRUE
RUVBL1,FALSE,3,1,Wald ratio,0.965,0.866,1.075,0.52,0.888,1,Wald ratio,0.965,0.866,1.075,0.52,0.892,TRUE,ns in both,TRUE
SLC39A13,FALSE,11,1,Wald ratio,1.12,0.793,1.582,0.52,0.888,1,Wald ratio,1.12,0.793,1.582,0.52,0.892,TRUE,ns in both,TRUE
TBC1D15,FALSE,12,1,Wald ratio,1.035,0.933,1.148,0.52,0.888,1,Wald ratio,1.035,0.933,1.148,0.52,0.892,TRUE,ns in both,TRUE
WBP4,FALSE,13,1,Wald ratio,1.048,0.909,1.208,0.52,0.888,1,Wald ratio,1.048,0.909,1.208,0.52,0.892,TRUE,ns in both,TRUE
FTSJ3,FALSE,17,2,Inverse variance weighted,1.045,0.914,1.194,0.523,0.888,2,Inverse variance weighted,1.045,0.914,1.194,0.523,0.892,TRUE,ns in both,TRUE
