gene,logFC,AveExpr,t,P.Value,adj.P.Val,sig,dir
FXYD4,-0.0752404737904673,3.42346125689139,-2.92240562246458,0.00390624914777961,0.00996668910916964,FALSE,ns
ZNF225,0.163999873615475,4.19306766735474,2.92226122643158,0.00390797964761856,0.00996949072429379,TRUE,Up in RA
HS6ST1,-0.111444194577273,6.34556729280496,-2.92210267930228,0.00390988054834614,0.00997272606530424,TRUE,Down in RA
BRSK1,-0.150336296743127,5.66606389173792,-2.92173616234222,0.00391427814443008,0.0099823275183063,TRUE,Down in RA
BIRC3,0.184651587254185,9.59460788557253,2.92137788921739,0.00391858120480253,0.00999168481580432,TRUE,Up in RA
ST8SIA1,0.170476511898974,4.36039428796257,2.9209065818805,0.00392424846565318,0.0100045169924133,TRUE,Up in RA
EVI5L,-0.10442435675273,4.61030577371345,-2.92078216973589,0.00392574571769201,0.0100067156772282,TRUE,Down in RA
SYNGR4,0.077963245579558,3.45160530732747,2.92013375840049,0.00393355756709561,0.010025006941007,FALSE,ns
POLR1D,-0.13288586246447,9.54977099379761,-2.91986781213669,0.00393676571504224,0.0100315612619158,TRUE,Down in RA
EXOSC6,-0.110495664562537,9.0606179115338,-2.91977115279807,0.00393793232393265,0.0100329121096089,TRUE,Down in RA
CNTNAP2,-0.407931493317095,4.76762964786126,-2.91961790786791,0.00393978252900366,0.0100360038792315,TRUE,Down in RA
ALDH3B1,-0.170752963706963,8.12510919924182,-2.91855344077476,0.00395265636873988,0.0100671711650423,TRUE,Down in RA
ERLIN1,0.121568433031066,8.49454290991909,2.91729153603277,0.00396796793372542,0.0101045361129748,TRUE,Up in RA
TLR1,0.131898622205847,9.79409319545182,2.91703626420339,0.00397107191867876,0.0101108070835298,TRUE,Up in RA
IL22RA1,-0.0798991717477873,3.74930218349055,-2.91605166204431,0.00398306504714989,0.0101397051579819,FALSE,ns
ARAP1,-0.135989907345467,8.34354983811898,-2.91590838647939,0.00398481300223624,0.0101413043330466,TRUE,Down in RA
